topic,sub_topic,metric_name,metric_vars_prefix,quality_variable,ci_var,subgroup_id,metrics_description,source_data,source_data2,notes,notes2,notes3
communities,neighborhoods,Economic inclusion,poverty_exposure,poverty_exposure_quality,3,race_poverty,Metric: Share of residents experiencing poverty living in high-poverty neighborhoods,"American Community Survey, 2018 (5-yr)",,The share of a city's or county's residents living in poverty that live in high-poverty neighborhoods (defined as census tracts). A high-poverty neighborhood is one in which over 40 percent of the residents live in poverty.,<br><br>'Black' includes Black Hispanics. 'Other Races and Ethnicities' includes those in races not explicitly listed and those of multiple races. Those who identify as other race or multiple races and Hispanic are counted in both the 'Hispanic' and 'Other Races and Ethnicities'.,
communities,neighborhoods,Racial diversity,white_nh_exposure|black_nh_exposure|hispanic_exposure|other_nh_exposure,white_nh_exposure_quality|black_nh_exposure_quality|hispanic_exposure_quality|other_nh_exposure_quality,3,none,Metric: Share of a person's neighbors who are people of other races/ethnicities,"American Community Survey, 2018 (5-yr)",,"A set of metrics constructed separately for each racial/ethnic group and reports the average share of that group's neighbors who are members of other racial/ethnic groups. This is a type of exposure index. For example, an exposure index of 90.0% in the '% for Black, Non-Hispanic' row means that the average Black, non-Hispanic resident has 90.0% of their neighbors within a census tract who have a different race/ethnicity than them. The higher the value, the more exposed to people of different races/ethnicities.",,
communities,neighborhoods,Transportation access,transit_trips,transit_trips_quality,3,race_share,Metric: Transit trips index,"Location Affordability Index data using National Transit Database data (via HUD AFFH data), 2016 (5-year)","Location Affordability Index data using National Transit Database data (via HUD AFFH data), 2016 (5-year); American Community Survey (via HUD AFFH data), 2016 (5-year)","The number of public transit trips taken annually by a three-person single-parent family with income at 50 percent of the median income for renters. Values are percentile ranked nationally, with values ranging from 0 to 100 for each census tract. To get a value for the jurisdiction, we generate a population-weighted average of census tracts within the jurisdiction. The higher the value, the more likely  residents utilize public transit in the jurisdiction.",<br><br>'Majority' means that at least 60% of residents in a census tract are members of the specified group. ,
communities,neighborhoods,Transportation access-cost,transit_cost,transit_cost_quality,3,race_share,Metric: Low transportation cost index,"Location Affordability Index data using National Transit Database data (via HUD AFFH data), 2016 (5-year)","Location Affordability Index data using National Transit Database data (via HUD AFFH data), 2016 (5-year); American Community Survey (via HUD AFFH data), 2016 (5-year)","Reflects local transportation costs as a percent of renters' incomes. It accounts for both transit and cars. This index is based on estimates of transportation costs for a family that meets the following description: a three-person, single-parent family with income at 50 percent of the median income for renters for the region (i.e., CBSA). Values are inverted and percentile ranked nationally, with values ranging from 0 to 100. The higher the value, the lower the cost of transportation in that neighborhood. ",<br><br>'Majority' means that at least 60% of residents in a census tract are members of the specified group.,
communities,neighborhoods,Environmental quality,environmental,environmental_quality,3,race_share|poverty,Metric: Air quality index,"National Air Toxics Assessment (NATA) data (via HUD AFFH data), 2014","National Air Toxics Assessment (NATA) data (via HUD AFFH data), 2014; American Community Survey (ACS), 2014 (5-yr)","The index is a linear combination of standardized EPA estimates of air quality carcinogenic, respiratory, and neurological hazards measured at the census tract. Values are percentile ranked nationally and range from 0 to 100. The higher the index value, the less exposure to toxins harmful to human health.",<br><br>'Majority' means that at least 60% of residents in a census tract are members of the specified group.,<br><br>'High poverty' means that 40% or more of people in a census tract live in families with incomes below the federal poverty line.
communities,safety,Exposure to crime,crime_rate,crime_rate_quality,3,none,"Metric: Rates of reported crime (per 100,000 people)","Federal Bureau of Investigations (FBI) Uniform Crime Statistic (UCR) Crime in the United States data series (via ICPSR), 2017; American Community Survey, 2017 (1-yr); New York State Division of Criminal Justice Services County Index Crime Rates, 2017","Federal Bureau of Investigations (FBI) Uniform Crime Statistic (UCR) Crime in the United States data series (via ICPSR), 2017 & 2015; American Community Survey, 2017 (1-yr) & 2015 (1-yr); New York State Division of Criminal Justice Services County Index Crime Rates, 2017 & 2015","Reported crimes are captured for four 'index' violent felonies (murder/non-negligent manslaughter, forcible rape, robbery, and aggravated assault) and four index property felonies (burglary, larceny-theft, motor vehicle theft, and arson). Rates are calculated as the number of reported crimes per 100,000 people. Although these are the best national data source, jurisdictions should use their local data if it is available. The FBI cautions using UCR data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",,
communities,safety,Overly punitive policing,juvenile_arrest_rate,juvenile_arrest_rate_quality,3,race,"Metric: Rate of juvenile justice arrests (per 100,000 juveniles)","Federal Bureau of Investigations (FBI) Uniform Crime Statistic (UCR) Crime in the United States data series (via ICPSR), 2016; American Community Survey, 2016 (1-yr)",,"The number of arrests of people age 10 to 17 per 100,000 people of that age. Because people can be arrested multiple times, the data reports the number of arrests and not people. The metric is for juvenile arrest for any crime. Although these are the best national data source, jurisdictions should use their local data if it is available. The FBI cautions using UCR data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",<br><br>Ethnicity is not specified in the data. Those of multiple races are only included in 'Other Races.',
earn_and_learn,education,Access to preschool,share_in_preschool,preschool_quality,1,race_ethnicity,Metric: Share of 3- to 4-year-olds enrolled in nursery school or preschool,"American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018 (5-yr)",The share of a jurisdiction's three- to four-year old children who are enrolled in nursery or preschool.,,
earn_and_learn,education,Effective public education,learning_rate,learning_rate_quality,1,race_ethnicity|income,Metric: Average per grade change in English Language Arts achievement between third and eighth grades,"Stanford Education Data Archive (SEDA) (Version 3.0; Reardon, S.F. et al. 2019; retrieved from http://purl.stanford.edu/db586ns4974), School Year 2009/10-2015/16",,"The average per year improvement in English/language arts (reading comprehension, written expression) among public school students between the third and eighth grades. Assessments are normalized such that a typical learning growth is roughly 1 grade level per year. '1' indicates a jurisdiction is learning at an average rate; below 1 is slower than average, and above 1 is faster than average.","<br><br>Research suggests that annual improvement in English for Hispanic children will exceed those of White, Non-Hispanic children because Hispanic children, on average, start with lower levels of English language skills and can improve more quickly than children with higher baseline skills.","<br><br>Research suggests that annual improvement in English for students in low-income or economically disadvantaged households will exceed those of non-economically disadvantaged households because students in more advantaged households, on average, start with lower levels of English language skills and can improve more quickly than children with higher baseline skills. 'Low-income' means students are determined to be eligible for their schools' free and reduced price meals under the National School Lunch Program."
earn_and_learn,education,Student poverty concentration,frpl40_white|frpl40_black|frpl40_hispanic,frpl40_white_quality|frpl40_black_quality|frpl40_hispanic_quality,3,none,"Metric: Share of students attending high-poverty schools, by student race/ethnicity ","National Center for Education Statistics (NCES) Common Core of Data (CCD), via Education Data Portal v. 0.9.0, Urban Institute, under ODC Attribution License",,This set of metrics is constructed separately for each racial/ethnic group and reports the share of students attending schools in which over 40 percent of the student body receives free or reduced price meals.,,
earn_and_learn,education,College readiness,share_hs_degree,hs_degree_quality,1,race_ethnicity,Metric: Share of 19- and 20-year-olds with a high school degree,"American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018 (5-yr)",The share of the number of 19- and 20-year olds with a high school degree in a given jurisdiction to the total number of 19- and 20-year olds in the jurisdiction.,,
earn_and_learn,work,Employment,share_employed,employed_quality,1,race_ethnicity,Metric: Employment-to-population ratio for adults ages 25 to 54,"American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018","American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2018 (5-yr)",Ratio of the number of employed adults between the ages of 25 and 54 in a given jurisdiction to the total number of adults in that age range living there.,,
earn_and_learn,work,Access to jobs paying a living wage,average_to_living_wage_ratio,wage_ratio_quality,3,none,Metric: Ratio of pay on a typical job to the cost of living,"U.S. Bureau of Labor Statistics (BLS) Quarterly Census of Employment and Wages (QCEW) data, 2018; Massachusetts Institute of Technology (MIT) Living Wage Calculator 2018 ","U.S. Bureau of Labor Statistics (BLS) Quarterly Census of Employment and Wages (QCEW) data, 2018 & 2014; Massachusetts Institute of Technology (MIT) Living Wage Calculator for a 1 adult and 2 child household, 2018; BLS Consumer Price Indexes for All Urban Consumers (CPI-U)","What a 'typical' job pays relative to the cost of living in a particular area. The metric is computed by dividing the average earnings for a job in an area by the cost of meeting a family of three’s basic expenses in that area. Ratio values greater than 1 indicate that the typical job pays more than the cost of living, while values less than 1 suggest the typical job pays less than the cost of living.","<br><br>Because we only have access to 2018 MIT living wage data, we use the CPI-U to deflate the 2018 values to be equivalent to 2014 dollars. The numerator of this figure (average earnings from the median job in an area) is based on 2014 data (QCEW).",
