year,state,geo,state_name,geo_name,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality
2014,36,029,New York,Erie County,income,Not Low-Income,1.0627568,0.99239308,1.1331205,2
2014,36,055,New York,Monroe County,all,All,1.012583,0.94907534,1.0760907,2
2014,36,055,New York,Monroe County,income,Low Income,0.8660481,0.78514004,0.94695616,2
2014,36,055,New York,Monroe County,income,Not Low-Income,1.106197,1.0309511,1.1814429,2
2014,36,067,New York,Onondaga County,all,All,1.0246735,0.94655836,1.1027886,2
2014,36,067,New York,Onondaga County,income,Low Income,0.8324827,0.73035192,0.93461347,2
2014,36,067,New York,Onondaga County,income,Not Low-Income,1.1325142,1.0410177,1.2240108,2
2014,39,113,Ohio,Montgomery County,all,All,0.95887983,0.91412556,1.0036341,1
2014,39,113,Ohio,Montgomery County,income,Low Income,0.91779184,0.86693263,0.96865106,1
2014,39,113,Ohio,Montgomery County,income,Not Low-Income,1.064077,1.00401,1.1241441,1
2014,39,153,Ohio,Summit County,all,All,1.0677252,1.022408,1.1130424,1
2014,39,153,Ohio,Summit County,income,Low Income,1.0675017,1.0125134,1.1224899,1
2014,39,153,Ohio,Summit County,income,Not Low-Income,1.0844628,1.0279278,1.1409978,1
2014,55,079,Wisconsin,Milwaukee County,all,All,1.1487467,1.1169908,1.1805027,1
2014,55,079,Wisconsin,Milwaukee County,income,Low Income,1.0652755,1.0206625,1.1098886,1
2014,55,079,Wisconsin,Milwaukee County,income,Not Low-Income,1.0651736,1.0029888,1.1273584,1
2013,36,029,New York,Erie County,all,All,0.97238243,0.93197864,1.0127863,1
2013,36,029,New York,Erie County,income,Low Income,0.91070634,0.85947555,0.96193713,1
2013,36,029,New York,Erie County,income,Not Low-Income,0.97568077,0.92940909,1.0219525,1
2013,36,055,New York,Monroe County,all,All,0.98343229,0.9396655,1.027199,1
2013,36,055,New York,Monroe County,income,Low Income,0.85515738,0.79925627,0.91105849,1
2013,36,055,New York,Monroe County,income,Not Low-Income,1.0680118,1.0185995,1.117424,1
2013,36,067,New York,Onondaga County,all,All,1.0209713,0.96680927,1.0751333,1
2013,36,067,New York,Onondaga County,income,Low Income,0.87498665,0.80487788,0.94509542,1
2013,36,067,New York,Onondaga County,income,Not Low-Income,1.1004927,1.039935,1.1610504,1
2013,39,113,Ohio,Montgomery County,all,All,1.0185956,0.96553284,1.0716584,1
2013,39,113,Ohio,Montgomery County,income,Low Income,1.0120763,0.94968867,1.0744638,1
2013,39,113,Ohio,Montgomery County,income,Not Low-Income,1.0976622,1.0331855,1.1621389,1
2013,39,153,Ohio,Summit County,all,All,1.0638702,1.0104617,1.1172787,1
2013,39,153,Ohio,Summit County,income,Low Income,0.96514106,0.90079182,1.0294904,1
2013,39,153,Ohio,Summit County,income,Not Low-Income,1.1614281,1.0982183,1.2246379,1
2013,55,079,Wisconsin,Milwaukee County,all,All,1.1342008,1.1032978,1.1651038,1
2013,55,079,Wisconsin,Milwaukee County,income,Low Income,1.1106497,1.0776371,1.1436623,1
2013,55,079,Wisconsin,Milwaukee County,income,Not Low-Income,1.1445348,1.1011851,1.1878846,1
2017,36,11000,New York,Buffalo city,all,All,NA,NA,NA,NA
2017,36,11000,New York,Buffalo city,income,Low Income,NA,NA,NA,NA
2017,36,11000,New York,Buffalo city,income,Not Low-Income,NA,NA,NA,NA
2017,36,73000,New York,Syracuse city,all,All,NA,NA,NA,NA
2017,36,73000,New York,Syracuse city,income,Low Income,NA,NA,NA,NA
2017,36,73000,New York,Syracuse city,income,Not Low-Income,NA,NA,NA,NA
2017,39,01000,Ohio,Akron city,all,All,0.77686441,0.58937722,0.96435153,1
2017,39,01000,Ohio,Akron city,income,Low Income,0.74427617,0.57331198,0.91524029,1
2017,39,01000,Ohio,Akron city,income,Not Low-Income,0.99527699,0.53221804,1.458336,1
2017,39,21000,Ohio,Dayton city,all,All,0.88076675,0.66483939,1.0966941,1
2017,39,21000,Ohio,Dayton city,income,Low Income,0.86693573,0.68726438,1.046607,1
2017,39,21000,Ohio,Dayton city,income,Not Low-Income,0.87618697,0.46615112,1.2862227,1
2017,55,53000,Wisconsin,Milwaukee city,all,All,1.0969625,1.0282747,1.1656501,1
2017,55,53000,Wisconsin,Milwaukee city,income,Low Income,1.1016207,1.0412041,1.1620373,1
2017,55,53000,Wisconsin,Milwaukee city,income,Not Low-Income,0.95994836,0.81820709,1.1016896,1
2016,36,11000,New York,Buffalo city,all,All,NA,NA,NA,NA
2016,36,11000,New York,Buffalo city,income,Low Income,NA,NA,NA,NA
2016,36,11000,New York,Buffalo city,income,Not Low-Income,NA,NA,NA,NA
2016,36,73000,New York,Syracuse city,all,All,NA,NA,NA,NA
2016,36,73000,New York,Syracuse city,income,Low Income,NA,NA,NA,NA
2016,36,73000,New York,Syracuse city,income,Not Low-Income,NA,NA,NA,NA
2016,39,01000,Ohio,Akron city,all,All,0.88339424,0.71676862,1.0500199,1
2016,39,01000,Ohio,Akron city,income,Low Income,0.86847138,0.72393131,1.0130115,1
2016,39,01000,Ohio,Akron city,income,Not Low-Income,0.97989595,0.47804716,1.4817448,1
2016,39,21000,Ohio,Dayton city,all,All,0.9332369,0.75459015,1.1118836,1
2016,39,21000,Ohio,Dayton city,income,Low Income,0.90247184,0.75169271,1.0532509,1
2016,39,21000,Ohio,Dayton city,income,Not Low-Income,0.97262275,0.59566909,1.3495765,1
2016,55,53000,Wisconsin,Milwaukee city,all,All,1.1481248,1.0816811,1.2145685,1
2016,55,53000,Wisconsin,Milwaukee city,income,Low Income,1.1720799,1.1132492,1.2309107,1
2016,55,53000,Wisconsin,Milwaukee city,income,Not Low-Income,0.92474145,0.7755146,1.0739683,1
