metric_name,metric_vars_prefix,quality_variable,ci_var,subgroup_id,metrics_description,source_data,source_data2,notes,notes2,notes3,years
Digital access,share_digital_access,share_digital_access_quality,2,race,Metric: Share of people in households with broadband access in the home,US Census Bureau’s 2021 5-Year American Community Survey. (Time period: 2017-2021),,This metric represents the share of people in households with access to broadband in their home.,,,2021
Employment opportunities,share_employed,share_employed_quality,3,race_ethnicity,Metric: Employment-to-population ratio for adults ages 25 to 54,US Census Bureau’s 2021 5-Year American Community Survey Public Use Microdata Sample (PUMS) (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-21),US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2014-18 & 2017-21),The share of adults between the ages of 25 and 54 in a given community who are employed.,,,2021
Opportunities for income,pctl_income,pctl_income_quality,2,race_ethnicity,"Metric: Household income at the 20th, 50th, and 80th percentiles",US Census Bureau’s 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time Period: 2021),US Census Bureau’s 2018 & 2021 5-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time Periods: 2014-18 & 2017-21),"To identify income percentiles, all households are ranked by income from lowest to highest. The income level threshold for the poorest 20 percent of households is the value at the 20th percentile. The 50th percentile income threshold indicates the median, with half of households earning less and half of households earning more. The income level threshold for the richest 20 percent of households is the value at the 80th percentile. The difference in income between households at the 20th percentile and the 80th percentile illustrates the level of local economic inequality.",,,2021
Financial security,share_debt_col,share_debt_col_quality,3,race_share,Metric: Share with debt in collections,"August 2021 credit bureau data, from Urban Institute’s Financial Health and Wealth Dashboard. (Time period: August 2021)",,"The city-level measure captures the share of adults in an area with a credit bureau record with any derogatory debt, which is primarily debt in collections.","For city-level August 2021 data, ‘majority’ means that at least 50% of residents in a zip code are members of the specified population group.",,2021
Wealth-building opportunities,"ratio_black_nh_house_value_households, ratio_hispanic_house_value_households, ratio_other_nh_house_value_households, ratio_white_nh_house_value_households","ratio_black_nh_house_value_households_quality, ratio_hispanic_house_value_households_quality, ratio_other_nh_house_value_households_quality, ratio_white_nh_house_value_households_quality",3,none,Metric: Ratio of the share of a community’s housing wealth held by a racial or ethnic group to the share of households of the same group,US Census Bureau’s 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2021),US Census Bureau’s 2018 & 2021 1-Year American Community Survey Public Use Microdata Sample (via IPUMS); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time periods: 2018 & 2021),"The percentage to the left of the colon for a given racial group reflects their share of primary-residence housing wealth in a community, and the percentage to the right of the colon reflects the number of households who are headed by a member of that racial group as a share of the community’s total number of households. If the percentage on the left side of the colon is smaller than the percentage on the right side, then that group has less proportionate housing wealth compared to their presence in the community. The greater the gap between these percentages, the more inequality in housing wealth in the community. This metric is based on self-reported housing value, does not account for the extent of mortgage debt, and does not account for other important demographic variations such as differences in age composition across race and ethnic groups, and as such this metric may not fully reflect the size of the actual housing wealth gap.",,,"2018, 2021"
Environmental quality,air_quality_index,air_quality_index_quality,3,"race_share, poverty",Metric: Air quality index,"US Environmental Protection Agency’s AirToxScreen data, 2018 (based on 2017 National Emissions Inventory data); Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2017-18)","Environmental Protection Agency’s National Air Toxics Assessment data, 2014 and AirToxScreen data, 2018 (based on 2014 & 2017 National Emissions Inventory data); US Census Bureau’s 2014 & 2018 5-Year American Community Survey; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time periods: 2010-14 & 2014-18)","The index is a linear combination of standardized EPA estimates of air quality carcinogenic, respiratory, and neurological hazards measured at the census tract level. Values are inverted and percentile ranked nationally and range from 0 to 100. The higher the index value, the less exposure to toxins harmful to human health.",<br><br>'Majority' means that at least 60% of residents in a census tract are members of the specified group. 'High poverty' means that 40% or more of people in a census tract live in families with incomes below the federal poverty line.,,"2014, 2018"
Political participation,share_election_turnout,share_election_turnout_quality,3,none,Metric: Share of the voting-age population who turn out to vote,"Voting and Election Science Team, Precinct-Level Election Results 2020 (via Harvard Dataverse); US Census Bureau’s 2020 5-Year American Community Survey Citizen Voting Age Population Special Tabulation; Missouri Census Data Center Geocorr 2022: Geographic Correspondence Engine. (Time period: 2016-20)",,This metric measures the share of the citizen voting-age population that voted in the most recent presidential election.,,,2020
Descriptive representation among local officials,"share_desc_rep_asian_other, share_desc_rep_black_nonhispanic, share_desc_rep_hispanic, share_desc_rep_white_nonhispanic","share_desc_rep_asian_other_quality, share_desc_rep_black_nonhispanic_quality, share_desc_rep_hispanic_quality, share_desc_rep_white_nonhispanic_quality",3,none,Metric: Ratio of the share of local elected officials of a racial or ethnic group to the share of residents of the same racial or ethnic group.<em>Part of this metric is shown. See the notes for information on finalizing this metric.</em>,US Census Bureau’s 2021 5-Year American Community Survey. (Time period: 2017-21),,"Shown are the share of that racial or ethnic group in your community. The community will need to calculate the missing percentages in order to complete the descriptive representation metric. See the [Planning Guide](https://upward-mobility.urban.org/boosting-upward-mobility-planning-guide-local-action) (pg. 27) on how to calculate the missing percentage. Say that of your 10 elected officials, nine are White, non-Hispanic and your community’s population is half White, non-Hispanic, the metric will read as “90.0%:50.0%.” If the share of local officials is higher than the share of people in the community, then this group is over-represented. If the share of local officials is lower than the share of people in the community, then this group is under-represented. We are presenting this as a ratio of percentages because it provides important context.<br><br>The quality index reflects the data quality only of the given value.",,,2021
Safety from crime,"rate_violent_crime, rate_property_crime",rate_crime_quality,3,none,"Metric: Reported property crimes per 100,000 people and reported violent crimes per 100,000 people",Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),,"Rates are calculated as the number of reported crimes against proprty or people per 100,000 people. Although these are the best national data source, communities should use their local data if they are available. The FBI cautions against using NIBRS data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",,,2021
Just policing,rate_juv_arrest,rate_juv_arrest_quality,3,race,"Metric: Juvenile arrests per 100,000 juveniles",Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),Federal Bureau of Investigations (FBI) National Incident Based Reporting System (via Kaplan J (2021). National Incident-Based Reporting System (NIBRS) Data. https://nibrsbook.com/); US Census Bureau’s 2021 1-Year American Community Survey. (Time period: 2021),"The number of arrests of people aged 10 to 17, for any crime or status offense, per 100,000 people of that age. Because people can be arrested multiple times, the data reports the number of arrests and not people. Although these are the best national data source, communities should use their local data if it is available. The FBI cautions against using NIBRS data to rank or compare locales because there are many factors that cause the nature and type of crime to vary from place to place.",<br><br>Ethnicity is inconsistently collected and often missing in the data. Those of multiple races are only included in 'Other Races.',,2021
