state,county,state_name,county_name,population,subgroup_type,subgroup,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality
1,11,Alabama,Bullock County,10138,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,11,Alabama,Bullock County,10138,race-ethnicity,Majority Non-White,0.4689655,0.5504748,0.3874563,1,0,9.226749336,1,1
1,11,Alabama,Bullock County,10138,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,NA,NA,NA,NA
1,13,Alabama,Butler County,19680,all,All,0.4231975,0.4775009,0.368894,1,1.613915995,2.620704285,1,1
1,13,Alabama,Butler County,19680,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,1.64953271,0,1,1
1,13,Alabama,Butler County,19680,race-ethnicity,Majority Non-White,NA,NA,NA,3,1.721728081,2.130876747,1,1
1,13,Alabama,Butler County,19680,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,1.368,9,1,1
1,15,Alabama,Calhoun County,114277,all,All,0.4521073,0.4749356,0.4292789,1,13.2152105,24.44870982,1,1
1,15,Alabama,Calhoun County,114277,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,14.51093089,11.49435825,1,1
1,15,Alabama,Calhoun County,114277,race-ethnicity,Majority Non-White,NA,NA,NA,3,23.05277778,20.97546296,1,1
1,15,Alabama,Calhoun County,114277,race-ethnicity,"Majority White, Non-Hispanic",0.4159357,0.4420642,0.3898071,1,9.094891718,31.76244007,1,1
1,17,Alabama,Chambers County,33615,all,All,0.4423381,0.4810603,0.4036159,1,2.889015044,2.922509225,1,1
1,17,Alabama,Chambers County,33615,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,4,10,1,1
1,17,Alabama,Chambers County,33615,race-ethnicity,Majority Non-White,NA,NA,NA,3,2.920815837,0,1,1
1,17,Alabama,Chambers County,33615,race-ethnicity,"Majority White, Non-Hispanic",0.4599303,0.5176925,0.4021681,1,2.495732575,4.122332859,1,1
1,19,Alabama,Cherokee County,26032,all,All,0.3994845,0.4482837,0.3506854,1,4.364219815,51.94705174,1,1
1,19,Alabama,Cherokee County,26032,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,19,Alabama,Cherokee County,26032,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,19,Alabama,Cherokee County,26032,race-ethnicity,"Majority White, Non-Hispanic",0.4005168,0.4494002,0.3516334,1,4.364219815,51.94705174,1,1
1,21,Alabama,Chilton County,44153,all,All,0.4165478,0.4530687,0.3800268,1,22.54496987,25.12447844,1,1
1,21,Alabama,Chilton County,44153,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,22.68793503,16.18213457,1,1
1,21,Alabama,Chilton County,44153,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,21,Alabama,Chilton County,44153,race-ethnicity,"Majority White, Non-Hispanic",0.4165478,0.4530687,0.3800268,1,22.50926999,27.35747393,1,1
1,23,Alabama,Choctaw County,12841,all,All,0.4060914,0.4748456,0.3373371,1,0.792372881,11.80024213,1,1
1,23,Alabama,Choctaw County,12841,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,1,0,1,1
1,23,Alabama,Choctaw County,12841,race-ethnicity,Majority Non-White,0.5294118,0.6489305,0.4098931,1,0.556274256,25.21862872,1,1
1,23,Alabama,Choctaw County,12841,race-ethnicity,"Majority White, Non-Hispanic",0.2142857,0.3227293,0.1058422,1,1,0,1,1
1,25,Alabama,Clarke County,23920,all,All,0.4462366,0.4968206,0.3956525,1,0.666240409,7.523657289,1,1
1,25,Alabama,Clarke County,23920,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0,0,1,1
1,25,Alabama,Clarke County,23920,race-ethnicity,Majority Non-White,NA,NA,NA,3,0.928352725,7.092467851,1,1
1,25,Alabama,Clarke County,23920,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,1.577777778,33.2,1,1
1,27,Alabama,Clay County,13275,all,All,0.3908046,0.4501145,0.3314946,1,4.516626115,13.75182482,1,1
1,27,Alabama,Clay County,13275,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,27,Alabama,Clay County,13275,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,27,Alabama,Clay County,13275,race-ethnicity,"Majority White, Non-Hispanic",0.3621622,0.4316092,0.2927151,1,4.516626115,13.75182482,3,3
1,29,Alabama,Cleburne County,14987,all,All,0.3442623,0.404002,0.2845227,1,2.531770512,7.852560148,1,1
1,29,Alabama,Cleburne County,14987,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,29,Alabama,Cleburne County,14987,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,29,Alabama,Cleburne County,14987,race-ethnicity,"Majority White, Non-Hispanic",0.3429752,0.4029087,0.2830417,1,2.531770512,7.852560148,1,1
1,31,Alabama,Coffee County,51909,all,All,0.3,0.3317755,0.2682245,1,18.25389199,17.2471651,1,1
1,31,Alabama,Coffee County,51909,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,21.76917058,8.136150235,1,1
1,31,Alabama,Coffee County,51909,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,31,Alabama,Coffee County,51909,race-ethnicity,"Majority White, Non-Hispanic",0.2957198,0.3279545,0.2634851,1,14.85946354,26.04495655,1,1
1,33,Alabama,Colbert County,54762,all,All,0.3774835,0.4090666,0.3459003,1,17.03865062,22.68045431,1,1
1,33,Alabama,Colbert County,54762,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,32,25,1,1
1,33,Alabama,Colbert County,54762,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,33,Alabama,Colbert County,54762,race-ethnicity,"Majority White, Non-Hispanic",0.3782267,0.4100873,0.3463661,1,15.74341499,22.47964634,1,1
1,35,Alabama,Conecuh County,12277,all,All,0.4303797,0.5078304,0.3529291,1,0,7.093117409,1,1
1,35,Alabama,Conecuh County,12277,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0,9.362725451,1,1
1,35,Alabama,Conecuh County,12277,race-ethnicity,Majority Non-White,0.4358974,0.5261373,0.3456576,1,0,0,1,1
1,35,Alabama,Conecuh County,12277,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,0,0,1,1
1,37,Alabama,Coosa County,10715,all,All,0.4823529,0.5892131,0.3754928,1,3.392890552,14.42563143,1,1
1,37,Alabama,Coosa County,10715,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,3,9,1,1
1,37,Alabama,Coosa County,10715,race-ethnicity,Majority Non-White,NA,NA,NA,3,4,14,1,1
1,37,Alabama,Coosa County,10715,race-ethnicity,"Majority White, Non-Hispanic",0.4615385,0.5836755,0.3394014,1,3,19,1,1
1,39,Alabama,Covington County,36986,all,All,0.4412238,0.4803087,0.4021389,1,3.090575621,8.852990971,1,1
1,39,Alabama,Covington County,36986,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,3,0,1,1
1,39,Alabama,Covington County,36986,race-ethnicity,Majority Non-White,NA,NA,NA,3,4,0,1,1
1,39,Alabama,Covington County,36986,race-ethnicity,"Majority White, Non-Hispanic",0.4401295,0.4792989,0.40096,1,3.032079646,11.5689528,1,1
1,41,Alabama,Crenshaw County,13824,all,All,0.4,0.4614705,0.3385295,1,3.31985516,10.97585999,1,1
1,41,Alabama,Crenshaw County,13824,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,4,13,1,1
1,41,Alabama,Crenshaw County,13824,race-ethnicity,Majority Non-White,NA,NA,NA,3,3,10,1,1
1,41,Alabama,Crenshaw County,13824,race-ethnicity,"Majority White, Non-Hispanic",0.4059829,0.4690396,0.3429262,1,3.22074883,10.68330733,1,1
1,43,Alabama,Cullman County,83442,all,All,0.3585175,0.3836207,0.3334142,1,5.984738268,7.72043931,1,1
1,43,Alabama,Cullman County,83442,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,43,Alabama,Cullman County,83442,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,43,Alabama,Cullman County,83442,race-ethnicity,"Majority White, Non-Hispanic",0.3618564,0.3872287,0.3364842,1,5.984738268,7.72043931,2,2
1,45,Alabama,Dale County,48956,all,All,0.3580902,0.3923348,0.3238456,1,14.03868032,14.61111111,1,1
1,45,Alabama,Dale County,48956,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,15.39354188,12.70812311,2,2
1,45,Alabama,Dale County,48956,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,45,Alabama,Dale County,48956,race-ethnicity,"Majority White, Non-Hispanic",0.3561644,0.3909264,0.3214024,1,9.938931298,20.36946565,2,2
1,47,Alabama,Dallas County,38310,all,All,0.5616224,0.600065,0.5231799,1,0.308459422,4.492606602,1,1
1,47,Alabama,Dallas County,38310,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0,5.504413619,1,1
1,47,Alabama,Dallas County,38310,race-ethnicity,Majority Non-White,0.5681445,0.6075179,0.5287711,1,0.364042208,4.416396104,1,1
1,47,Alabama,Dallas County,38310,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,0,0,1,1
1,49,Alabama,DeKalb County,71385,all,All,0.3880743,0.4179513,0.3581972,1,3.427266797,23.47798434,1,1
1,49,Alabama,DeKalb County,71385,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,4,90,2,2
1,49,Alabama,DeKalb County,71385,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,49,Alabama,DeKalb County,71385,race-ethnicity,"Majority White, Non-Hispanic",0.3880743,0.4179513,0.3581972,1,3.362266207,15.92827311,2,2
1,51,Alabama,Elmore County,81887,all,All,0.3207843,0.3464163,0.2951523,1,17.57818765,14.2085004,1,1
1,51,Alabama,Elmore County,81887,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,19.08852459,2.957377049,1,1
1,51,Alabama,Elmore County,81887,race-ethnicity,Majority Non-White,NA,NA,NA,3,22.80632411,13.26482213,1,1
1,51,Alabama,Elmore County,81887,race-ethnicity,"Majority White, Non-Hispanic",0.3106633,0.3369565,0.2843701,1,15.5246079,19.10654408,1,1
1,53,Alabama,Escambia County,36748,all,All,0.4471154,0.486158,0.4080728,1,0.766304348,0.789402174,1,1
1,53,Alabama,Escambia County,36748,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0.593800979,5.686786297,2,2
1,53,Alabama,Escambia County,36748,race-ethnicity,Majority Non-White,NA,NA,NA,3,1,0,2,2
1,53,Alabama,Escambia County,36748,race-ethnicity,"Majority White, Non-Hispanic",0.4217507,0.4716676,0.3718338,1,0.63547486,0,2,2
1,55,Alabama,Etowah County,102501,all,All,0.3997509,0.423716,0.3757859,1,10.74391344,15.81524897,1,1
1,55,Alabama,Etowah County,102501,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,17.82955119,6.671709531,2,2
1,55,Alabama,Etowah County,102501,race-ethnicity,Majority Non-White,NA,NA,NA,3,15.51407884,21.24054706,2,2
1,55,Alabama,Etowah County,102501,race-ethnicity,"Majority White, Non-Hispanic",0.4001256,0.4241997,0.3760516,1,7.786084382,17.50111029,2,2
1,57,Alabama,Fayette County,16433,all,All,0.4172662,0.475337,0.3591954,1,2.608579088,3.184986595,1,1
1,57,Alabama,Fayette County,16433,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,3,0,1,1
1,57,Alabama,Fayette County,16433,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,57,Alabama,Fayette County,16433,race-ethnicity,"Majority White, Non-Hispanic",0.4172662,0.475337,0.3591954,1,2.404081633,4.848979592,1,1
1,59,Alabama,Franklin County,31363,all,All,0.4401709,0.4851941,0.3951478,1,2.668134634,2.587291601,1,1
1,59,Alabama,Franklin County,31363,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,59,Alabama,Franklin County,31363,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,59,Alabama,Franklin County,31363,race-ethnicity,"Majority White, Non-Hispanic",0.474359,0.5298566,0.4188614,1,2.668134634,2.587291601,1,1
1,61,Alabama,Geneva County,26314,all,All,0.3549696,0.3972519,0.3126872,1,5.908838072,19.38318912,1,1
1,61,Alabama,Geneva County,26314,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,61,Alabama,Geneva County,26314,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,61,Alabama,Geneva County,26314,race-ethnicity,"Majority White, Non-Hispanic",0.355691,0.3980357,0.3133464,1,5.908838072,19.38318912,1,1
1,63,Alabama,Greene County,8233,all,All,0.5254237,0.6159075,0.4349399,1,0,4.618260244,1,1
1,63,Alabama,Greene County,8233,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,63,Alabama,Greene County,8233,race-ethnicity,Majority Non-White,0.5254237,0.6159075,0.4349399,1,0,4.618260244,1,1
1,63,Alabama,Greene County,8233,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,NA,NA,NA,NA
1,65,Alabama,Hale County,14726,all,All,0.4855967,0.5485674,0.4226261,1,14.01818988,27.24267968,1,1
1,65,Alabama,Hale County,14726,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,10.58119658,31.75213675,1,1
1,65,Alabama,Hale County,14726,race-ethnicity,Majority Non-White,0.557971,0.6411334,0.4748086,1,15.57280928,25.20296392,1,1
1,65,Alabama,Hale County,14726,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,NA,NA,NA,NA
1,67,Alabama,Henry County,17209,all,All,0.3295455,0.3863549,0.272736,1,6.274796748,21.10081301,1,1
1,67,Alabama,Henry County,17209,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,67,Alabama,Henry County,17209,race-ethnicity,Majority Non-White,NA,NA,NA,3,6.099520384,19.96522782,1,1
1,67,Alabama,Henry County,17209,race-ethnicity,"Majority White, Non-Hispanic",0.3254902,0.3831141,0.2678663,1,6.419386746,22.03758655,1,1
1,69,Alabama,Houston County,104722,all,All,0.3526946,0.3756182,0.329771,1,13.32910616,8.86285539,1,1
1,69,Alabama,Houston County,104722,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,13.54297408,18.14597544,1,1
1,69,Alabama,Houston County,104722,race-ethnicity,Majority Non-White,NA,NA,NA,3,18.2396651,8.078754579,1,1
1,69,Alabama,Houston County,104722,race-ethnicity,"Majority White, Non-Hispanic",0.3378723,0.3649287,0.310816,1,9.705724679,8.133831132,1,1
1,71,Alabama,Jackson County,51736,all,All,0.3522316,0.3847677,0.3196955,1,4.39072327,8.429441824,1,1
1,71,Alabama,Jackson County,51736,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,71,Alabama,Jackson County,51736,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,71,Alabama,Jackson County,51736,race-ethnicity,"Majority White, Non-Hispanic",0.3522316,0.3847677,0.3196955,1,4.39072327,8.429441824,2,2
1,73,Alabama,Jefferson County,659300,all,All,0.4041579,0.4135511,0.3947648,1,44.37679475,42.24665321,1,1
1,73,Alabama,Jefferson County,659300,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,36.28779043,30.840137,1,1
1,73,Alabama,Jefferson County,659300,race-ethnicity,Majority Non-White,0.586866,0.6019751,0.5717568,1,50.52389623,49.63668302,1,1
1,73,Alabama,Jefferson County,659300,race-ethnicity,"Majority White, Non-Hispanic",0.2557778,0.2676963,0.2438594,1,34.78221154,31.585625,1,1
1,75,Alabama,Lamar County,13844,all,All,0.3425926,0.4060297,0.2791555,1,1,0,1,1
1,75,Alabama,Lamar County,13844,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,75,Alabama,Lamar County,13844,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,75,Alabama,Lamar County,13844,race-ethnicity,"Majority White, Non-Hispanic",0.3425926,0.4060297,0.2791555,1,1,0,1,1
1,77,Alabama,Lauderdale County,92387,all,All,0.3512195,0.3759265,0.3265125,1,20.35854617,19.94440079,1,1
1,77,Alabama,Lauderdale County,92387,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,36,27,1,1
1,77,Alabama,Lauderdale County,92387,race-ethnicity,Majority Non-White,NA,NA,NA,3,33,58,1,1
1,77,Alabama,Lauderdale County,92387,race-ethnicity,"Majority White, Non-Hispanic",0.3501754,0.374952,0.3253988,1,19.53087577,18.36155368,1,1
1,79,Alabama,Lawrence County,32957,all,All,0.4497258,0.4914533,0.4079982,1,11.09168738,25.93869097,1,1
1,79,Alabama,Lawrence County,32957,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,13,31,2,2
1,79,Alabama,Lawrence County,32957,race-ethnicity,Majority Non-White,NA,NA,NA,3,8,32,2,2
1,79,Alabama,Lawrence County,32957,race-ethnicity,"Majority White, Non-Hispanic",0.4433781,0.4860775,0.4006787,1,10.88454831,24.54865713,2,2
1,81,Alabama,Lee County,163941,all,All,0.3467153,0.3666437,0.3267869,1,26.05004473,33.37925591,1,1
1,81,Alabama,Lee County,163941,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,24.50064267,27.8348329,1,1
1,81,Alabama,Lee County,163941,race-ethnicity,Majority Non-White,NA,NA,NA,3,21.65565438,21.71029225,1,1
1,81,Alabama,Lee County,163941,race-ethnicity,"Majority White, Non-Hispanic",0.3223315,0.3466151,0.2980478,1,28.40817308,40.28298077,1,1
1,83,Alabama,Limestone County,96174,all,All,0.3368569,0.3614575,0.3122564,1,39.15780313,37.6750145,1,1
1,83,Alabama,Limestone County,96174,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,33.5046729,34.56697819,1,1
1,83,Alabama,Limestone County,96174,race-ethnicity,Majority Non-White,NA,NA,NA,3,49,17,1,1
1,83,Alabama,Limestone County,96174,race-ethnicity,"Majority White, Non-Hispanic",0.3522936,0.3806652,0.323922,1,39.70701945,39.42672466,1,1
1,85,Alabama,Lowndes County,9974,all,All,0.5225806,0.6014707,0.4436905,1,18.38891793,39.86670152,1,1
1,85,Alabama,Lowndes County,9974,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,85,Alabama,Lowndes County,9974,race-ethnicity,Majority Non-White,0.5727273,0.6655959,0.4798586,1,18.38891793,39.86670152,1,1
1,85,Alabama,Lowndes County,9974,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,NA,NA,NA,NA
1,87,Alabama,Macon County,18439,all,All,0.5204082,0.5776126,0.4632036,1,1.030492572,1.206802189,1,1
1,87,Alabama,Macon County,18439,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,1,9,1,1
1,87,Alabama,Macon County,18439,race-ethnicity,Majority Non-White,0.5822222,0.6468098,0.5176346,1,1.035214447,0,1,1
1,87,Alabama,Macon County,18439,race-ethnicity,"Majority White, Non-Hispanic",0.3559322,0.4791551,0.2327093,1,NA,NA,NA,NA
1,89,Alabama,Madison County,366519,all,All,0.335575,0.3475762,0.3235738,1,56.30061723,59.21603221,1,1
1,89,Alabama,Madison County,366519,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,62.96584067,64.91685966,1,1
1,89,Alabama,Madison County,366519,race-ethnicity,Majority Non-White,0.6086351,0.6443595,0.5729106,1,65.64256213,67.89558728,1,1
1,89,Alabama,Madison County,366519,race-ethnicity,"Majority White, Non-Hispanic",0.266573,0.2798387,0.2533073,1,44.12134274,48.17770376,1,1
1,91,Alabama,Marengo County,19066,all,All,0.444795,0.4995872,0.3900027,1,0.388226797,1.669555796,1,1
1,91,Alabama,Marengo County,19066,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0,0,1,1
1,91,Alabama,Marengo County,19066,race-ethnicity,Majority Non-White,NA,NA,NA,3,0.430861723,1.852905812,1,1
1,91,Alabama,Marengo County,19066,race-ethnicity,"Majority White, Non-Hispanic",0.4509804,0.5889056,0.3130551,1,NA,NA,NA,NA
1,93,Alabama,Marion County,29763,all,All,0.4065934,0.4517774,0.3614094,1,1.146163216,5.018879415,1,1
1,93,Alabama,Marion County,29763,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,93,Alabama,Marion County,29763,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,93,Alabama,Marion County,29763,race-ethnicity,"Majority White, Non-Hispanic",0.4065934,0.4517774,0.3614094,1,1.146163216,5.018879415,1,1
1,95,Alabama,Marshall County,96109,all,All,0.3618785,0.3866387,0.3371182,1,6.211439888,5.574091333,1,1
1,95,Alabama,Marshall County,96109,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,9,11,1,1
1,95,Alabama,Marshall County,96109,race-ethnicity,Majority Non-White,NA,NA,NA,3,NA,NA,NA,NA
1,95,Alabama,Marshall County,96109,race-ethnicity,"Majority White, Non-Hispanic",0.362379,0.3871638,0.3375942,1,5.829116439,4.830176182,1,1
1,97,Alabama,Mobile County,413757,all,All,0.4357154,0.4476619,0.4237688,1,24.18893931,34.16227038,1,1
1,97,Alabama,Mobile County,413757,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,29.021522,33.52140309,1,1
1,97,Alabama,Mobile County,413757,race-ethnicity,Majority Non-White,0.6107513,0.63508,0.5864226,1,29.41590326,44.33099513,1,1
1,97,Alabama,Mobile County,413757,race-ethnicity,"Majority White, Non-Hispanic",0.3512667,0.3663891,0.3361442,1,14.04667577,19.28225562,1,1
1,99,Alabama,Monroe County,21067,all,All,0.4263323,0.4806882,0.3719764,1,0,0.728140853,1,1
1,99,Alabama,Monroe County,21067,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
1,99,Alabama,Monroe County,21067,race-ethnicity,Majority Non-White,NA,NA,NA,3,0,1.00660066,1,1
1,99,Alabama,Monroe County,21067,race-ethnicity,"Majority White, Non-Hispanic",0.3739837,0.4598446,0.2881229,1,0,0,1,1
1,101,Alabama,Montgomery County,225763,all,All,0.4803552,0.4964214,0.4642891,1,31.10211612,37.39728142,1,1
1,101,Alabama,Montgomery County,225763,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,26.36708636,28.37949991,1,1
1,101,Alabama,Montgomery County,225763,race-ethnicity,Majority Non-White,0.6301154,0.6517951,0.6084358,1,32.92889955,40.60968763,1,1
1,101,Alabama,Montgomery County,225763,race-ethnicity,"Majority White, Non-Hispanic",0.3076923,0.3435627,0.271822,1,24.25244913,28.28937453,1,1
1,103,Alabama,Morgan County,119089,all,All,0.3933842,0.414989,0.3717794,1,21.40368583,28.44186047,1,1
1,103,Alabama,Morgan County,119089,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,30.71564327,26.49890351,2,2
1,103,Alabama,Morgan County,119089,race-ethnicity,Majority Non-White,NA,NA,NA,3,25.64893002,41.84499711,2,2
1,103,Alabama,Morgan County,119089,race-ethnicity,"Majority White, Non-Hispanic",0.3402878,0.3652053,0.3153702,1,16.66810967,25.86493506,2,2
1,105,Alabama,Perry County,9140,all,All,0.5378152,0.6277731,0.4478572,1,0,0,1,1
1,105,Alabama,Perry County,9140,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,0,0,1,1
1,105,Alabama,Perry County,9140,race-ethnicity,Majority Non-White,0.5378152,0.6277731,0.4478572,1,0,0,1,1
1,105,Alabama,Perry County,9140,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,3,NA,NA,NA,NA
1,107,Alabama,Pickens County,19938,all,All,0.4919614,0.5476145,0.4363084,1,11.99594649,18.0024321,1,1
1,107,Alabama,Pickens County,19938,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,9.676399027,18.95620438,1,1
1,107,Alabama,Pickens County,19938,race-ethnicity,Majority Non-White,0.6,0.7080309,0.4919691,1,13.58995816,20.35983264,1,1
1,107,Alabama,Pickens County,19938,race-ethnicity,"Majority White, Non-Hispanic",0.4285714,0.5006672,0.3564757,1,12,10,1,1
1,109,Alabama,Pike County,33338,all,All,0.3982684,0.4429568,0.35358,1,1.509124088,2.781021898,1,1
